Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A01004	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A01005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A01006	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A01010	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A01017	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A02015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A03015	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A03016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
A04005	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A04007	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
A04018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A05015	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A05019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
A05035	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
A05037	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05038	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
A05054	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
A05055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A05056	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1
A05059	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
A05064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A05069	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
A05076	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05079	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
A05088	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05096	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A05097	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
A05100	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A07011	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1
A07012	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1
A07020	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0
A07023	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A07024	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
A07025	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1
A07029	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
A07050	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A07051	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
A07052	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1
A07060	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A07063	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A07071	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0
A07073	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
A07080	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1
A07085	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1
A07087	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
A07093	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A07096	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
A08018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A09003	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A09022	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
A09023	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
A09045	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A09052	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A09060	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
A09064	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A09068	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A09073	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A09087	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0
A09093	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
A09095	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A10009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
A10014	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A10020	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A12002	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0
A12006	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
A12009	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A12014	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A12026	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A12034	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1
A12039	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
A12042	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A12086	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1
A12098	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
A12099	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12102	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
A12106	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A12110	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
A12123	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
A12127	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
A12134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A12137	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
A12140	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
A12148	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
A12155	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
A12156	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
A12166	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
A12167	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
A12168	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A12181	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
A12182	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A12185	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A12212	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
A12217	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A12218	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A12224	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
A12230	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A12239	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0
A12257	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
A12262	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A12266	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
A12269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A12271	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A12280	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A12288	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
A12305	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A12313	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
A12315	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0
A12328	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
A12333	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
A12336	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A12337	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A12343	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
A12345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A12348	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1
A12364	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A12377	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A12379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
A12392	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0
A12397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A12402	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
A12403	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
A12408	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
A12409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A12414	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0
A12418	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A12426	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A12440	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0
A12447	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A12454	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A12457	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A12458	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
A12459	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
A12464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A12465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A12475	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0
A12488	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
A12492	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A13001	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A13012	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A13013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
A14002	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A14003	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
A14006	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A14008	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
A14013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A14015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A15011	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
A15019	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A17002	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0
A17003	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0
A17011	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
A17015	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
A18003	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A18005	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A18009	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A18011	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A18027	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
A18028	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A18033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A18036	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A18051	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
A18056	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
A18057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A18060	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A18062	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
A18067	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A18083	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A18087	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
A18091	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1
A18092	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
A18094	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1
A18095	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A18097	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A18101	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
A18108	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
A18113	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
A18120	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A18127	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1
A18131	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
A18136	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A18138	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
A18139	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1
A18142	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
A18164	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0
A18167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A18168	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A18173	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
A18180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
A18201	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
A18220	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
A18221	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A18223	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A18224	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A18226	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
A18229	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A18233	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0
A18240	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A18241	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1
A18246	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A18247	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
A18293	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1
A18295	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1
A18297	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
A18317	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A18320	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
A18325	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A18327	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0
A18328	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A18330	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
A18336	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0
A18337	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0
A18339	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0
A18344	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A18351	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
A18353	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
A18355	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1
A18372	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A18380	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A18393	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A18396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A18405	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A18410	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
A18412	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A18440	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A18445	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A18449	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
A18451	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
A18453	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
A18455	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
A18469	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
A18479	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
A18481	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A18485	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0
A18489	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
A18500	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0
A19009	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0
A19014	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A19021	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A19023	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
A19026	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
A19027	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
A19031	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A19035	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
A19041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
A19047	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
A19050	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A19052	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1
A19063	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
A19069	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0
A19076	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
A19083	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
A19089	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
A19091	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
